#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2915492.1         -          nacht_mafft_aligned  -              2e-30  105.1   0.0   2.9e-10   38.8   0.0   3.3   3   0   0   3   3   3   3 hypothetical protein MD484_g4894, partial [Candolleomyces efflorescens]
KAJ2913690.1         -          nacht_mafft_aligned  -              3e-14   51.9   0.0   4.2e-14   51.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6720, partial [Candolleomyces efflorescens]
KAJ2913606.1         -          nacht_mafft_aligned  -            3.2e-14   51.8   0.1   5.6e-14   51.0   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6818, partial [Candolleomyces efflorescens]
KAJ2918836.1         -          nacht_mafft_aligned  -              5e-14   51.2   0.0   7.7e-14   50.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1622, partial [Candolleomyces efflorescens]
KAJ2913605.1         -          nacht_mafft_aligned  -            5.8e-14   50.9   0.2     1e-13   50.1   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6819, partial [Candolleomyces efflorescens]
KAJ2912117.1         -          nacht_mafft_aligned  -            6.5e-14   50.8   0.0     1e-13   50.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8295, partial [Candolleomyces efflorescens]
KAJ2919435.1         -          nacht_mafft_aligned  -            1.2e-13   49.9   0.0   1.9e-13   49.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1002, partial [Candolleomyces efflorescens]
KAJ2918711.1         -          nacht_mafft_aligned  -            1.3e-13   49.8   0.0     2e-13   49.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1710, partial [Candolleomyces efflorescens]
KAJ2914743.1         -          nacht_mafft_aligned  -            1.3e-13   49.7   0.0     2e-13   49.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5677, partial [Candolleomyces efflorescens]
KAJ2912598.1         -          nacht_mafft_aligned  -              2e-13   49.2   0.0   3.1e-13   48.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7818, partial [Candolleomyces efflorescens]
KAJ2913417.1         -          nacht_mafft_aligned  -            2.1e-13   49.1   0.1   3.7e-13   48.3   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6996, partial [Candolleomyces efflorescens]
KAJ2919388.1         -          nacht_mafft_aligned  -              4e-13   48.2   0.0   6.3e-13   47.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1031, partial [Candolleomyces efflorescens]
KAJ2913689.1         -          nacht_mafft_aligned  -            4.1e-13   48.2   0.0   1.1e-12   46.8   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g6721, partial [Candolleomyces efflorescens]
KAJ2915068.1         -          nacht_mafft_aligned  -            4.1e-13   48.2   0.0   6.8e-13   47.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5348, partial [Candolleomyces efflorescens]
KAJ2915829.1         -          nacht_mafft_aligned  -            4.5e-13   48.0   0.0   6.7e-13   47.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4600, partial [Candolleomyces efflorescens]
KAJ2914146.1         -          nacht_mafft_aligned  -            4.7e-13   48.0   0.0   7.7e-13   47.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6266, partial [Candolleomyces efflorescens]
KAJ2917865.1         -          nacht_mafft_aligned  -            6.7e-13   47.5   0.0     1e-12   46.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2598, partial [Candolleomyces efflorescens]
KAJ2919102.1         -          nacht_mafft_aligned  -            7.1e-13   47.4   0.1   1.2e-12   46.6   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g1299, partial [Candolleomyces efflorescens]
KAJ2916154.1         -          nacht_mafft_aligned  -            1.2e-12   46.6   0.0   3.3e-12   45.2   0.0   1.7   2   0   0   2   2   1   1 hypothetical protein MD484_g4264, partial [Candolleomyces efflorescens]
KAJ2913601.1         -          nacht_mafft_aligned  -            1.2e-12   46.6   0.3   2.3e-12   45.7   0.3   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6817, partial [Candolleomyces efflorescens]
KAJ2914172.1         -          nacht_mafft_aligned  -            1.4e-12   46.4   0.0   2.2e-12   45.7   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6227, partial [Candolleomyces efflorescens]
KAJ2919465.1         -          nacht_mafft_aligned  -            1.4e-12   46.3   0.0   2.4e-12   45.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g960, partial [Candolleomyces efflorescens]
KAJ2913593.1         -          nacht_mafft_aligned  -            1.4e-12   46.3   0.1   2.7e-12   45.4   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6820, partial [Candolleomyces efflorescens]
KAJ2919449.1         -          nacht_mafft_aligned  -            1.5e-12   46.3   0.0   2.3e-12   45.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g968, partial [Candolleomyces efflorescens]
KAJ2912895.1         -          nacht_mafft_aligned  -              2e-12   45.8   0.0     3e-12   45.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7519, partial [Candolleomyces efflorescens]
KAJ2916681.1         -          nacht_mafft_aligned  -            2.1e-12   45.8   0.0   4.5e-12   44.7   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein MD484_g3741, partial [Candolleomyces efflorescens]
KAJ2914033.1         -          nacht_mafft_aligned  -            2.3e-12   45.7   0.0   3.5e-12   45.1   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g6367, partial [Candolleomyces efflorescens]
KAJ2911742.1         -          nacht_mafft_aligned  -            2.4e-12   45.6   0.0   3.5e-12   45.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8673, partial [Candolleomyces efflorescens]
KAJ2912820.1         -          nacht_mafft_aligned  -            3.2e-12   45.2   0.0   6.3e-12   44.2   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7590, partial [Candolleomyces efflorescens]
KAJ2913271.1         -          nacht_mafft_aligned  -              4e-12   44.9   0.0     6e-12   44.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7154, partial [Candolleomyces efflorescens]
KAJ2912459.1         -          nacht_mafft_aligned  -            4.2e-12   44.8   0.0     7e-12   44.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g7961, partial [Candolleomyces efflorescens]
KAJ2912733.1         -          nacht_mafft_aligned  -            5.4e-12   44.4   0.0   8.8e-12   43.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7682, partial [Candolleomyces efflorescens]
KAJ2913595.1         -          nacht_mafft_aligned  -            5.7e-12   44.4   0.1     1e-11   43.5   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6808, partial [Candolleomyces efflorescens]
KAJ2917872.1         -          nacht_mafft_aligned  -            6.1e-12   44.3   0.0   9.8e-12   43.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2593, partial [Candolleomyces efflorescens]
KAJ2911639.1         -          nacht_mafft_aligned  -            6.6e-12   44.2   0.0   1.1e-11   43.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8778, partial [Candolleomyces efflorescens]
KAJ2913604.1         -          nacht_mafft_aligned  -            8.1e-12   43.9   0.2   1.4e-11   43.1   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6814, partial [Candolleomyces efflorescens]
KAJ2917312.1         -          nacht_mafft_aligned  -            8.2e-12   43.9   0.1   2.9e-11   42.1   0.0   1.8   2   0   0   2   2   1   1 hypothetical protein MD484_g3118, partial [Candolleomyces efflorescens]
KAJ2919437.1         -          nacht_mafft_aligned  -              9e-12   43.7   0.0   1.4e-11   43.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1004, partial [Candolleomyces efflorescens]
KAJ2916266.1         -          nacht_mafft_aligned  -              9e-12   43.7   0.0   2.8e-11   42.1   0.0   1.7   1   1   0   1   1   1   1 hypothetical protein MD484_g4158, partial [Candolleomyces efflorescens]
KAJ2920019.1         -          nacht_mafft_aligned  -              1e-11   43.5   0.0   1.6e-11   42.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g448, partial [Candolleomyces efflorescens]
KAJ2917049.1         -          nacht_mafft_aligned  -              1e-11   43.5   0.8   2.7e-11   42.2   0.0   2.0   3   0   0   3   3   1   1 hypothetical protein MD484_g3360, partial [Candolleomyces efflorescens]
KAJ2914704.1         -          nacht_mafft_aligned  -              1e-11   43.5   0.0   1.9e-11   42.7   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g5699, partial [Candolleomyces efflorescens]
KAJ2912822.1         -          nacht_mafft_aligned  -            1.2e-11   43.3   0.0   2.1e-11   42.5   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7592, partial [Candolleomyces efflorescens]
KAJ2915978.1         -          nacht_mafft_aligned  -            1.3e-11   43.1   0.0     2e-11   42.6   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g4439, partial [Candolleomyces efflorescens]
KAJ2915220.1         -          nacht_mafft_aligned  -            1.5e-11   43.0   0.0   2.2e-11   42.4   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g5215, partial [Candolleomyces efflorescens]
KAJ2918257.1         -          nacht_mafft_aligned  -              2e-11   42.5   0.0   3.4e-11   41.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2165, partial [Candolleomyces efflorescens]
KAJ2916664.1         -          nacht_mafft_aligned  -            2.2e-11   42.5   0.0   3.5e-11   41.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3739, partial [Candolleomyces efflorescens]
KAJ2914843.1         -          nacht_mafft_aligned  -            2.2e-11   42.4   0.0   3.4e-11   41.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g5588, partial [Candolleomyces efflorescens]
KAJ2919387.1         -          nacht_mafft_aligned  -            2.3e-11   42.4   0.0   3.6e-11   41.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1030, partial [Candolleomyces efflorescens]
KAJ2914703.1         -          nacht_mafft_aligned  -            2.6e-11   42.2   0.0   4.3e-11   41.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5698, partial [Candolleomyces efflorescens]
KAJ2916271.1         -          nacht_mafft_aligned  -            3.4e-11   41.8   0.0     8e-11   40.6   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein MD484_g4157, partial [Candolleomyces efflorescens]
KAJ2919708.1         -          nacht_mafft_aligned  -            4.2e-11   41.5   0.0   6.1e-11   41.0   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g732, partial [Candolleomyces efflorescens]
KAJ2911572.1         -          nacht_mafft_aligned  -            4.9e-11   41.3   0.0   8.9e-11   40.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g8843, partial [Candolleomyces efflorescens]
KAJ2911741.1         -          nacht_mafft_aligned  -            6.2e-11   41.0   0.0     9e-11   40.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8670, partial [Candolleomyces efflorescens]
KAJ2913596.1         -          nacht_mafft_aligned  -            6.2e-11   41.0   0.1   1.1e-10   40.1   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6809, partial [Candolleomyces efflorescens]
KAJ2916263.1         -          nacht_mafft_aligned  -            7.5e-11   40.7   0.0   1.2e-10   40.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g4172, partial [Candolleomyces efflorescens]
KAJ2914156.1         -          nacht_mafft_aligned  -              8e-11   40.6   0.0   1.2e-10   40.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6255, partial [Candolleomyces efflorescens]
KAJ2915670.1         -          nacht_mafft_aligned  -            8.5e-11   40.5   0.0   1.6e-10   39.7   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g4767, partial [Candolleomyces efflorescens]
KAJ2915935.1         -          nacht_mafft_aligned  -            8.9e-11   40.5   0.0   3.2e-10   38.6   0.0   1.8   1   1   0   1   1   1   1 hypothetical protein MD484_g4482, partial [Candolleomyces efflorescens]
KAJ2918744.1         -          nacht_mafft_aligned  -            9.1e-11   40.4   0.0     2e-10   39.3   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein MD484_g1646, partial [Candolleomyces efflorescens]
KAJ2911327.1         -          nacht_mafft_aligned  -            9.6e-11   40.3   0.0   1.6e-10   39.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g9087, partial [Candolleomyces efflorescens]
KAJ2912356.1         -          nacht_mafft_aligned  -              1e-10   40.3   0.0   1.9e-10   39.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g8064, partial [Candolleomyces efflorescens]
KAJ2912898.1         -          nacht_mafft_aligned  -            1.1e-10   40.1   0.0   1.6e-10   39.6   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7516, partial [Candolleomyces efflorescens]
KAJ2914159.1         -          nacht_mafft_aligned  -            1.1e-10   40.1   0.0   1.6e-10   39.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6256, partial [Candolleomyces efflorescens]
KAJ2915217.1         -          nacht_mafft_aligned  -            1.2e-10   40.0   0.0   1.9e-10   39.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5212, partial [Candolleomyces efflorescens]
KAJ2917378.1         -          nacht_mafft_aligned  -            1.2e-10   40.0   0.0   1.8e-10   39.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3093, partial [Candolleomyces efflorescens]
KAJ2917564.1         -          nacht_mafft_aligned  -            1.2e-10   40.0   0.0   1.9e-10   39.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2879, partial [Candolleomyces efflorescens]
KAJ2912595.1         -          nacht_mafft_aligned  -            1.5e-10   39.7   0.0   2.2e-10   39.1   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7811, partial [Candolleomyces efflorescens]
KAJ2920010.1         -          nacht_mafft_aligned  -            1.6e-10   39.6   0.0   9.3e-10   37.1   0.0   1.9   1   1   0   1   1   1   1 hypothetical protein MD484_g462, partial [Candolleomyces efflorescens]
KAJ2915594.1         -          nacht_mafft_aligned  -            1.7e-10   39.5   0.0   2.5e-10   38.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4839, partial [Candolleomyces efflorescens]
KAJ2916245.1         -          nacht_mafft_aligned  -            1.7e-10   39.5   0.0   3.9e-10   38.3   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g4160, partial [Candolleomyces efflorescens]
KAJ2914173.1         -          nacht_mafft_aligned  -            1.9e-10   39.4   0.0   2.5e-10   39.0   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g6223, partial [Candolleomyces efflorescens]
KAJ2911743.1         -          nacht_mafft_aligned  -            1.9e-10   39.4   0.0   2.9e-10   38.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8672, partial [Candolleomyces efflorescens]
KAJ2919382.1         -          nacht_mafft_aligned  -              2e-10   39.3   0.0   3.2e-10   38.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1011, partial [Candolleomyces efflorescens]
KAJ2913044.1         -          nacht_mafft_aligned  -            2.2e-10   39.2   0.0   3.4e-10   38.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7368, partial [Candolleomyces efflorescens]
KAJ2920011.1         -          nacht_mafft_aligned  -            2.3e-10   39.1   0.0   2.4e-09   35.7   0.0   2.1   1   1   0   1   1   1   1 hypothetical protein MD484_g461, partial [Candolleomyces efflorescens]
KAJ2913270.1         -          nacht_mafft_aligned  -            2.4e-10   39.0   0.0   3.9e-10   38.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7155, partial [Candolleomyces efflorescens]
KAJ2912826.1         -          nacht_mafft_aligned  -            2.6e-10   38.9   0.0     6e-10   37.7   0.0   1.6   1   0   0   1   1   1   1 hypothetical protein MD484_g7589, partial [Candolleomyces efflorescens]
KAJ2914436.1         -          nacht_mafft_aligned  -            3.1e-10   38.7   0.0   5.5e-10   37.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g5961, partial [Candolleomyces efflorescens]
KAJ2912172.1         -          nacht_mafft_aligned  -            3.7e-10   38.4   0.0   5.5e-10   37.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8241, partial [Candolleomyces efflorescens]
KAJ2919981.1         -          nacht_mafft_aligned  -              4e-10   38.3   0.0   9.4e-10   37.1   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g505, partial [Candolleomyces efflorescens]
KAJ2914170.1         -          nacht_mafft_aligned  -            4.5e-10   38.1   0.0   7.5e-10   37.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6225, partial [Candolleomyces efflorescens]
KAJ2919980.1         -          nacht_mafft_aligned  -            5.2e-10   37.9   0.0   1.1e-09   36.8   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein MD484_g504, partial [Candolleomyces efflorescens]
KAJ2914645.1         -          nacht_mafft_aligned  -            5.3e-10   37.9   0.1   8.6e-07   27.3   0.0   2.1   2   0   0   2   2   2   1 hypothetical protein MD484_g5756, partial [Candolleomyces efflorescens]
KAJ2911414.1         -          nacht_mafft_aligned  -            5.9e-10   37.7   0.0     8e-10   37.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g9002, partial [Candolleomyces efflorescens]
KAJ2914190.1         -          nacht_mafft_aligned  -            6.5e-10   37.6   0.0   1.2e-09   36.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g6239, partial [Candolleomyces efflorescens]
KAJ2919699.1         -          nacht_mafft_aligned  -            6.7e-10   37.6   0.0   1.1e-09   36.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g660, partial [Candolleomyces efflorescens]
KAJ2915359.1         -          nacht_mafft_aligned  -            6.9e-10   37.5   0.0   1.3e-09   36.6   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g5086, partial [Candolleomyces efflorescens]
KAJ2914171.1         -          nacht_mafft_aligned  -            7.3e-10   37.4   0.0   1.2e-09   36.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6226, partial [Candolleomyces efflorescens]
KAJ2913553.1         -          nacht_mafft_aligned  -            7.3e-10   37.4   0.0   1.1e-09   36.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6849, partial [Candolleomyces efflorescens]
KAJ2920012.1         -          nacht_mafft_aligned  -            8.4e-10   37.2   0.0   1.7e-08   32.9   0.0   2.3   1   1   0   1   1   1   1 hypothetical protein MD484_g460, partial [Candolleomyces efflorescens]
KAJ2913190.1         -          nacht_mafft_aligned  -            8.5e-10   37.2   0.2   1.8e-09   36.2   0.0   1.5   2   0   0   2   2   1   1 hypothetical protein MD484_g7230, partial [Candolleomyces efflorescens]
KAJ2913559.1         -          nacht_mafft_aligned  -            8.7e-10   37.2   0.0   1.3e-09   36.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6852, partial [Candolleomyces efflorescens]
KAJ2912642.1         -          nacht_mafft_aligned  -            1.1e-09   36.9   0.0   1.9e-09   36.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g7772, partial [Candolleomyces efflorescens]
KAJ2911740.1         -          nacht_mafft_aligned  -            1.1e-09   36.9   0.0   1.7e-09   36.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8671, partial [Candolleomyces efflorescens]
KAJ2917317.1         -          nacht_mafft_aligned  -            1.1e-09   36.8   0.0   1.9e-09   36.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g3111, partial [Candolleomyces efflorescens]
KAJ2916577.1         -          nacht_mafft_aligned  -            1.2e-09   36.8   0.0   1.9e-09   36.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3858, partial [Candolleomyces efflorescens]
KAJ2914539.1         -          nacht_mafft_aligned  -            1.2e-09   36.7   0.0     2e-09   36.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g5873, partial [Candolleomyces efflorescens]
KAJ2911604.1         -          nacht_mafft_aligned  -            1.4e-09   36.5   0.0     2e-09   36.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8812, partial [Candolleomyces efflorescens]
KAJ2912599.1         -          nacht_mafft_aligned  -            1.4e-09   36.5   0.0   2.2e-09   35.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7819, partial [Candolleomyces efflorescens]
KAJ2912645.1         -          nacht_mafft_aligned  -            1.6e-09   36.4   0.0   2.2e-09   35.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7768, partial [Candolleomyces efflorescens]
KAJ2917375.1         -          nacht_mafft_aligned  -            1.8e-09   36.2   0.0   2.4e-09   35.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3090, partial [Candolleomyces efflorescens]
KAJ2913544.1         -          nacht_mafft_aligned  -            1.9e-09   36.1   0.0   4.6e-09   34.8   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g6876, partial [Candolleomyces efflorescens]
KAJ2915168.1         -          nacht_mafft_aligned  -            2.3e-09   35.8   0.0   3.9e-09   35.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5248, partial [Candolleomyces efflorescens]
KAJ2919397.1         -          nacht_mafft_aligned  -            2.7e-09   35.6   0.0   4.3e-09   34.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1026, partial [Candolleomyces efflorescens]
KAJ2917525.1         -          nacht_mafft_aligned  -            2.9e-09   35.5   0.0   4.1e-09   35.0   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g2867, partial [Candolleomyces efflorescens]
KAJ2914842.1         -          nacht_mafft_aligned  -            2.9e-09   35.5   0.0   4.2e-09   34.9   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g5587, partial [Candolleomyces efflorescens]
KAJ2912715.1         -          nacht_mafft_aligned  -              3e-09   35.4   0.0   5.5e-09   34.5   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7697, partial [Candolleomyces efflorescens]
KAJ2912674.1         -          nacht_mafft_aligned  -            3.1e-09   35.4   0.0   4.6e-09   34.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7739, partial [Candolleomyces efflorescens]
KAJ2912891.1         -          nacht_mafft_aligned  -            3.8e-09   35.1   0.0   5.7e-09   34.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7520, partial [Candolleomyces efflorescens]
KAJ2917528.1         -          nacht_mafft_aligned  -            4.2e-09   34.9   0.0   6.6e-09   34.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2862, partial [Candolleomyces efflorescens]
