#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2915958.1         -          kinase_mafft_aligned -           2.3e-123  410.7   0.9  2.8e-123  410.4   0.9   1.0   1   0   0   1   1   1   1 hypothetical protein MD484_g4421, partial [Candolleomyces efflorescens]
KAJ2915162.1         -          kinase_mafft_aligned -             0.0036   15.0   0.0    0.0052   14.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5262, partial [Candolleomyces efflorescens]
KAJ2917812.1         -          kinase_mafft_aligned -             0.0036   15.0   0.0    0.0087   13.8   0.0   1.6   2   0   0   2   2   2   1 hypothetical protein MD484_g2563, partial [Candolleomyces efflorescens]
KAJ2917652.1         -          kinase_mafft_aligned -              0.005   14.6   0.0     0.017   12.8   0.0   1.7   2   0   0   2   2   2   1 hypothetical protein MD484_g2784, partial [Candolleomyces efflorescens]
KAJ2913197.1         -          kinase_mafft_aligned -             0.0061   14.3   0.0      0.01   13.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g7211, partial [Candolleomyces efflorescens]
KAJ2912634.1         -          kinase_mafft_aligned -              0.007   14.1   0.0     0.013   13.2   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7781, partial [Candolleomyces efflorescens]
KAJ2916361.1         -          kinase_mafft_aligned -             0.0093   13.7   0.0     0.017   12.9   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g4030, partial [Candolleomyces efflorescens]
KAJ2920004.1         -          kinase_mafft_aligned -               0.01   13.5   0.0      0.02   12.6   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g406, partial [Candolleomyces efflorescens]
KAJ2919547.1         -          kinase_mafft_aligned -              0.011   13.4   0.0     0.019   12.6   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein MD484_g950, partial [Candolleomyces efflorescens]
KAJ2913839.1         -          kinase_mafft_aligned -              0.011   13.4   0.0     0.046   11.4   0.0   1.8   2   0   0   2   2   2   0 hypothetical protein MD484_g6575, partial [Candolleomyces efflorescens]
KAJ2912870.1         -          kinase_mafft_aligned -              0.012   13.3   0.0     0.024   12.3   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g7556, partial [Candolleomyces efflorescens]
KAJ2915408.1         -          kinase_mafft_aligned -              0.012   13.3   0.0     0.024   12.3   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g4979, partial [Candolleomyces efflorescens]
KAJ2915776.1         -          kinase_mafft_aligned -              0.016   12.9   0.2      0.04   11.6   0.2   1.6   2   0   0   2   2   2   0 hypothetical protein MD484_g4652, partial [Candolleomyces efflorescens]
KAJ2919114.1         -          kinase_mafft_aligned -              0.018   12.8   0.0     0.074   10.7   0.0   1.9   2   0   0   2   2   2   0 hypothetical protein MD484_g1291, partial [Candolleomyces efflorescens]
KAJ2914079.1         -          kinase_mafft_aligned -               0.02   12.6   0.0     0.026   12.2   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g6347, partial [Candolleomyces efflorescens]
KAJ2920160.1         -          kinase_mafft_aligned -              0.021   12.5   0.0     0.033   11.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g352, partial [Candolleomyces efflorescens]
KAJ2916394.1         -          kinase_mafft_aligned -              0.023   12.4   0.0     0.046   11.4   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g3977, partial [Candolleomyces efflorescens]
KAJ2916519.1         -          kinase_mafft_aligned -              0.028   12.1   0.0     0.049   11.3   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g3931, partial [Candolleomyces efflorescens]
KAJ2912857.1         -          kinase_mafft_aligned -              0.028   12.1   0.0     0.044   11.5   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g7549, partial [Candolleomyces efflorescens]
KAJ2920280.1         -          kinase_mafft_aligned -              0.032   11.9   0.0     0.066   10.9   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g71, partial [Candolleomyces efflorescens]
KAJ2918695.1         -          kinase_mafft_aligned -              0.032   11.9   0.0     0.053   11.2   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g1782, partial [Candolleomyces efflorescens]
KAJ2913430.1         -          kinase_mafft_aligned -              0.033   11.9   0.0     0.059   11.0   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g6986, partial [Candolleomyces efflorescens]
KAJ2916572.1         -          kinase_mafft_aligned -              0.036   11.8   0.0      0.14    9.8   0.0   1.8   1   1   1   2   2   2   0 hypothetical protein MD484_g3857, partial [Candolleomyces efflorescens]
KAJ2914953.1         -          kinase_mafft_aligned -              0.038   11.7   0.0     0.057   11.1   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g5444, partial [Candolleomyces efflorescens]
KAJ2919748.1         -          kinase_mafft_aligned -              0.042   11.5   0.0      0.33    8.6   0.0   2.0   2   0   0   2   2   2   0 hypothetical protein MD484_g750, partial [Candolleomyces efflorescens]
KAJ2914741.1         -          kinase_mafft_aligned -              0.045   11.4   0.1     0.069   10.8   0.1   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g5664, partial [Candolleomyces efflorescens]
KAJ2913547.1         -          kinase_mafft_aligned -              0.046   11.4   0.0      0.26    8.9   0.0   2.0   2   0   0   2   2   2   0 hypothetical protein MD484_g6860, partial [Candolleomyces efflorescens]
KAJ2916303.1         -          kinase_mafft_aligned -              0.048   11.3   0.0     0.075   10.7   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein MD484_g4122, partial [Candolleomyces efflorescens]
KAJ2919036.1         -          kinase_mafft_aligned -              0.067   10.9   0.0      0.73    7.5   0.0   1.9   2   0   0   2   2   2   0 hypothetical protein MD484_g1393, partial [Candolleomyces efflorescens]
KAJ2913110.1         -          kinase_mafft_aligned -               0.11   10.1   0.0      0.17    9.5   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g7301, partial [Candolleomyces efflorescens]
KAJ2920220.1         -          kinase_mafft_aligned -               0.24    9.1   3.8       1.4    6.5   3.8   2.0   1   1   0   1   1   1   0 hypothetical protein MD484_g89, partial [Candolleomyces efflorescens]
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      kinase_mafft_aligned.hmm
# Target file:     coprinopsis_allies/GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz_protein.faa
# Option settings: hmmsearch --tblout kinase_hits/kinase_hits.GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz_txt kinase_mafft_aligned.hmm coprinopsis_allies/GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz_protein.faa 
# Current dir:     /mnt/LTR_userdata/auxie001/coprin_som/diverse
# Date:            Thu Aug 28 11:13:49 2025
# [ok]
