#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2932576.1         -          kinase_mafft_aligned -           3.6e-119  397.7   0.2  4.4e-119  397.5   0.2   1.0   1   0   0   1   1   1   1 hypothetical protein H1R20_g4537, partial [Candolleomyces eurysporus]
KAJ2937023.1         -          kinase_mafft_aligned -            0.00049   18.8   0.0    0.0083   14.7   0.0   2.3   2   0   0   2   2   2   1 hypothetical protein H1R20_g78, partial [Candolleomyces eurysporus]
KAJ2936928.1         -          kinase_mafft_aligned -            0.00062   18.4   0.0     0.001   17.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g174, partial [Candolleomyces eurysporus]
KAJ2925314.1         -          kinase_mafft_aligned -            0.00069   18.3   0.1    0.0015   17.2   0.1   1.7   1   1   0   1   1   1   1 hypothetical protein H1R20_g11752, partial [Candolleomyces eurysporus]
KAJ2925247.1         -          kinase_mafft_aligned -            0.00092   17.9   0.1    0.0023   16.5   0.1   1.6   2   0   0   2   2   2   1 hypothetical protein H1R20_g11807, partial [Candolleomyces eurysporus]
KAJ2928759.1         -          kinase_mafft_aligned -            0.00097   17.8   0.0    0.0015   17.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g8155, partial [Candolleomyces eurysporus]
KAJ2930556.1         -          kinase_mafft_aligned -              0.001   17.7   0.0    0.0031   16.1   0.0   1.7   1   1   1   2   2   2   1 hypothetical protein H1R20_g6541, partial [Candolleomyces eurysporus]
KAJ2925963.1         -          kinase_mafft_aligned -              0.001   17.7   0.3    0.0018   16.9   0.3   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g11130, partial [Candolleomyces eurysporus]
KAJ2924042.1         -          kinase_mafft_aligned -             0.0011   17.6   0.0    0.0013   17.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13057, partial [Candolleomyces eurysporus]
KAJ2927737.1         -          kinase_mafft_aligned -             0.0015   17.1   0.0    0.0041   15.7   0.0   1.7   2   0   0   2   2   2   1 hypothetical protein H1R20_g9355, partial [Candolleomyces eurysporus]
KAJ2932891.1         -          kinase_mafft_aligned -             0.0019   16.8   0.0    0.0038   15.8   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g4176, partial [Candolleomyces eurysporus]
KAJ2933160.1         -          kinase_mafft_aligned -              0.002   16.7   0.0     0.004   15.8   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g3885, partial [Candolleomyces eurysporus]
KAJ2936735.1         -          kinase_mafft_aligned -             0.0022   16.6   0.1    0.0099   14.5   0.0   1.8   1   1   1   2   2   2   1 hypothetical protein H1R20_g359, partial [Candolleomyces eurysporus]
KAJ2928318.1         -          kinase_mafft_aligned -             0.0025   16.4   0.0     0.024   13.2   0.0   2.1   2   0   0   2   2   2   1 hypothetical protein H1R20_g8783, partial [Candolleomyces eurysporus]
KAJ2936960.1         -          kinase_mafft_aligned -             0.0026   16.4   0.0    0.0042   15.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g143, partial [Candolleomyces eurysporus]
KAJ2927341.1         -          kinase_mafft_aligned -             0.0026   16.4   0.2    0.0071   14.9   0.2   1.8   1   1   0   1   1   1   1 hypothetical protein H1R20_g9759, partial [Candolleomyces eurysporus]
KAJ2927496.1         -          kinase_mafft_aligned -             0.0027   16.3   0.0    0.0067   15.0   0.0   1.5   1   1   1   2   2   2   1 hypothetical protein H1R20_g9599, partial [Candolleomyces eurysporus]
KAJ2921965.1         -          kinase_mafft_aligned -             0.0029   16.2   0.0    0.0053   15.4   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g15124, partial [Candolleomyces eurysporus]
KAJ2929962.1         -          kinase_mafft_aligned -              0.003   16.2   0.0      0.11   11.0   0.0   2.1   1   1   1   2   2   2   1 hypothetical protein H1R20_g7156, partial [Candolleomyces eurysporus]
KAJ2932699.1         -          kinase_mafft_aligned -             0.0033   16.0   0.1     0.007   14.9   0.1   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g4398, partial [Candolleomyces eurysporus]
KAJ2926617.1         -          kinase_mafft_aligned -             0.0034   16.0   0.0    0.0078   14.8   0.0   1.5   2   0   0   2   2   1   1 hypothetical protein H1R20_g10477, partial [Candolleomyces eurysporus]
KAJ2930891.1         -          kinase_mafft_aligned -             0.0034   16.0   0.0    0.0078   14.8   0.0   1.5   2   0   0   2   2   1   1 hypothetical protein H1R20_g6177, partial [Candolleomyces eurysporus]
KAJ2931905.1         -          kinase_mafft_aligned -             0.0035   15.9   0.0    0.0062   15.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g5198, partial [Candolleomyces eurysporus]
KAJ2927143.1         -          kinase_mafft_aligned -             0.0049   15.5   0.0    0.0078   14.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9928, partial [Candolleomyces eurysporus]
KAJ2923365.1         -          kinase_mafft_aligned -              0.005   15.4   0.0    0.0078   14.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13736, partial [Candolleomyces eurysporus]
KAJ2924359.1         -          kinase_mafft_aligned -             0.0051   15.4   0.0    0.0079   14.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12743, partial [Candolleomyces eurysporus]
KAJ2930637.1         -          kinase_mafft_aligned -             0.0057   15.3   0.0     0.016   13.8   0.0   1.8   2   0   0   2   2   1   1 hypothetical protein H1R20_g6457, partial [Candolleomyces eurysporus]
KAJ2933861.1         -          kinase_mafft_aligned -             0.0061   15.1   0.0      0.01   14.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g3222, partial [Candolleomyces eurysporus]
KAJ2925421.1         -          kinase_mafft_aligned -              0.007   14.9   0.0     0.016   13.8   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g11690, partial [Candolleomyces eurysporus]
KAJ2926260.1         -          kinase_mafft_aligned -             0.0075   14.9   0.0     0.012   14.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g10849, partial [Candolleomyces eurysporus]
KAJ2927195.1         -          kinase_mafft_aligned -             0.0082   14.7   0.0     0.023   13.3   0.0   1.6   1   1   1   2   2   2   1 hypothetical protein H1R20_g9910, partial [Candolleomyces eurysporus]
KAJ2931215.1         -          kinase_mafft_aligned -             0.0082   14.7   0.0     0.013   14.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g5790, partial [Candolleomyces eurysporus]
KAJ2925397.1         -          kinase_mafft_aligned -             0.0082   14.7   0.1     0.013   14.0   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11678, partial [Candolleomyces eurysporus]
KAJ2930099.1         -          kinase_mafft_aligned -             0.0089   14.6   0.0     0.031   12.8   0.0   1.8   2   0   0   2   2   2   1 hypothetical protein H1R20_g7040, partial [Candolleomyces eurysporus]
KAJ2928829.1         -          kinase_mafft_aligned -              0.009   14.6   0.0      0.02   13.4   0.0   1.6   1   0   0   1   1   1   1 hypothetical protein H1R20_g8123, partial [Candolleomyces eurysporus]
KAJ2926156.1         -          kinase_mafft_aligned -             0.0091   14.6   0.0     0.015   13.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g10939, partial [Candolleomyces eurysporus]
KAJ2928871.1         -          kinase_mafft_aligned -              0.013   14.1   0.0     0.023   13.3   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein H1R20_g8278, partial [Candolleomyces eurysporus]
KAJ2920717.1         -          kinase_mafft_aligned -              0.013   14.1   0.0     0.021   13.4   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g16378, partial [Candolleomyces eurysporus]
KAJ2930240.1         -          kinase_mafft_aligned -              0.014   13.9   0.0     0.022   13.3   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g6908, partial [Candolleomyces eurysporus]
KAJ2935507.1         -          kinase_mafft_aligned -              0.015   13.9   0.0     0.022   13.3   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g1587, partial [Candolleomyces eurysporus]
KAJ2922847.1         -          kinase_mafft_aligned -              0.015   13.8   0.0     0.022   13.3   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g14233, partial [Candolleomyces eurysporus]
KAJ2930074.1         -          kinase_mafft_aligned -              0.016   13.8   0.0     0.028   13.0   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g7009, partial [Candolleomyces eurysporus]
KAJ2924043.1         -          kinase_mafft_aligned -              0.016   13.7   0.0     0.025   13.1   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g13058, partial [Candolleomyces eurysporus]
KAJ2929601.1         -          kinase_mafft_aligned -              0.019   13.6   0.0     0.029   12.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g7488, partial [Candolleomyces eurysporus]
KAJ2929803.1         -          kinase_mafft_aligned -              0.019   13.6   0.2     0.047   12.2   0.2   1.6   2   0   0   2   2   1   0 hypothetical protein H1R20_g7298, partial [Candolleomyces eurysporus]
KAJ2934679.1         -          kinase_mafft_aligned -              0.019   13.5   0.0     0.029   12.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g2422, partial [Candolleomyces eurysporus]
KAJ2936774.1         -          kinase_mafft_aligned -              0.022   13.3   0.0     0.038   12.5   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g323, partial [Candolleomyces eurysporus]
KAJ2930844.1         -          kinase_mafft_aligned -              0.025   13.1   0.0     0.041   12.4   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g6257, partial [Candolleomyces eurysporus]
KAJ2921506.1         -          kinase_mafft_aligned -              0.029   12.9   0.0     0.048   12.2   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g15590, partial [Candolleomyces eurysporus]
KAJ2931706.1         -          kinase_mafft_aligned -              0.031   12.8   0.0      0.07   11.7   0.0   1.6   1   0   0   1   1   1   0 hypothetical protein H1R20_g5525, partial [Candolleomyces eurysporus]
KAJ2931637.1         -          kinase_mafft_aligned -              0.033   12.7   0.0     0.066   11.7   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein H1R20_g5487, partial [Candolleomyces eurysporus]
KAJ2925306.1         -          kinase_mafft_aligned -              0.035   12.7   0.0     0.052   12.1   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g11734, partial [Candolleomyces eurysporus]
KAJ2930871.1         -          kinase_mafft_aligned -              0.036   12.6   0.0      0.15   10.6   0.0   1.8   2   0   0   2   2   2   0 hypothetical protein H1R20_g6215, partial [Candolleomyces eurysporus]
KAJ2924943.1         -          kinase_mafft_aligned -               0.04   12.5   0.0     0.079   11.5   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein H1R20_g12139, partial [Candolleomyces eurysporus]
KAJ2922906.1         -          kinase_mafft_aligned -              0.041   12.4   0.0     0.058   11.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g14164, partial [Candolleomyces eurysporus]
KAJ2920544.1         -          kinase_mafft_aligned -              0.044   12.3   0.0     0.068   11.7   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g16549, partial [Candolleomyces eurysporus]
KAJ2927672.1         -          kinase_mafft_aligned -              0.044   12.3   0.0     0.075   11.6   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g9412, partial [Candolleomyces eurysporus]
KAJ2935069.1         -          kinase_mafft_aligned -              0.051   12.1   0.0     0.083   11.4   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g2075, partial [Candolleomyces eurysporus]
KAJ2922022.1         -          kinase_mafft_aligned -              0.053   12.1   0.1      0.27    9.7   0.0   2.0   2   0   0   2   2   2   0 hypothetical protein H1R20_g15080, partial [Candolleomyces eurysporus]
KAJ2927163.1         -          kinase_mafft_aligned -              0.054   12.0   0.0       0.1   11.1   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein H1R20_g9971, partial [Candolleomyces eurysporus]
KAJ2929447.1         -          kinase_mafft_aligned -              0.066   11.7   0.0      0.11   11.1   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g7641, partial [Candolleomyces eurysporus]
KAJ2922871.1         -          kinase_mafft_aligned -              0.068   11.7   0.0      0.11   11.0   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g14226, partial [Candolleomyces eurysporus]
KAJ2932169.1         -          kinase_mafft_aligned -              0.078   11.5   0.0       0.1   11.1   0.0   1.1   1   0   0   1   1   1   0 hypothetical protein H1R20_g4931, partial [Candolleomyces eurysporus]
KAJ2930152.1         -          kinase_mafft_aligned -              0.091   11.3   0.0      0.17   10.4   0.0   1.4   1   1   0   1   1   1   0 hypothetical protein H1R20_g6927, partial [Candolleomyces eurysporus]
KAJ2928823.1         -          kinase_mafft_aligned -                0.1   11.2   0.0      0.23   10.0   0.0   1.5   1   0   0   1   1   1   0 hypothetical protein H1R20_g8209, partial [Candolleomyces eurysporus]
KAJ2930916.1         -          kinase_mafft_aligned -               0.11   11.1   0.0      0.19   10.3   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein H1R20_g6197, partial [Candolleomyces eurysporus]
KAJ2921077.1         -          kinase_mafft_aligned -               0.11   11.0   0.0      0.17   10.4   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g16017, partial [Candolleomyces eurysporus]
KAJ2931207.1         -          kinase_mafft_aligned -               0.12   10.8   0.0      0.24    9.9   0.0   1.4   1   0   0   1   1   1   0 hypothetical protein H1R20_g5810, partial [Candolleomyces eurysporus]
KAJ2924591.1         -          kinase_mafft_aligned -               0.13   10.8   0.0       0.2   10.1   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein H1R20_g12504, partial [Candolleomyces eurysporus]
KAJ2920923.1         -          kinase_mafft_aligned -               0.14   10.7   0.0      0.45    9.0   0.0   1.6   1   1   1   2   2   2   0 hypothetical protein H1R20_g16170, partial [Candolleomyces eurysporus]
KAJ2928915.1         -          kinase_mafft_aligned -               0.15   10.6   4.2       1.4    7.3   4.2   2.1   1   1   0   1   1   1   0 hypothetical protein H1R20_g8190, partial [Candolleomyces eurysporus]
KAJ2931453.1         -          kinase_mafft_aligned -               0.19   10.2   0.0       1.3    7.5   0.0   2.0   2   0   0   2   2   2   0 hypothetical protein H1R20_g5592, partial [Candolleomyces eurysporus]
KAJ2927708.1         -          kinase_mafft_aligned -               0.24    9.9   0.0      0.31    9.6   0.0   1.1   1   0   0   1   1   1   0 hypothetical protein H1R20_g9398, partial [Candolleomyces eurysporus]
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      kinase_mafft_aligned.hmm
# Target file:     coprinopsis_allies/GCA_027579435.1_Candolleomyces_eurysporus_reassembly_enz_protein.faa
# Option settings: hmmsearch --tblout kinase_hits/kinase_hits.GCA_027579435.1_Candolleomyces_eurysporus_reassembly_enz_txt kinase_mafft_aligned.hmm coprinopsis_allies/GCA_027579435.1_Candolleomyces_eurysporus_reassembly_enz_protein.faa 
# Current dir:     /mnt/LTR_userdata/auxie001/coprin_som/diverse
# Date:            Thu Aug 28 11:13:48 2025
# [ok]
