#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2935797.1         -          nacht_mafft_aligned  -            1.9e-48  165.4   0.0   6.1e-11   41.8   0.0   4.1   4   0   0   4   4   4   4 hypothetical protein H1R20_g1294, partial [Candolleomyces eurysporus]
KAJ2936749.1         -          nacht_mafft_aligned  -            1.3e-11   44.1   0.0   2.2e-11   43.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g335, partial [Candolleomyces eurysporus]
KAJ2936040.1         -          nacht_mafft_aligned  -            1.3e-11   44.1   0.0     2e-11   43.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1054, partial [Candolleomyces eurysporus]
KAJ2925833.1         -          nacht_mafft_aligned  -            1.3e-11   44.1   0.0   2.4e-11   43.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g11261, partial [Candolleomyces eurysporus]
KAJ2923215.1         -          nacht_mafft_aligned  -            1.3e-11   44.1   0.0   2.1e-11   43.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13880, partial [Candolleomyces eurysporus]
KAJ2921211.1         -          nacht_mafft_aligned  -            1.3e-11   44.1   0.0     2e-11   43.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g15883, partial [Candolleomyces eurysporus]
KAJ2925064.1         -          nacht_mafft_aligned  -            1.3e-11   44.0   0.0   2.2e-11   43.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12040, partial [Candolleomyces eurysporus]
KAJ2927426.1         -          nacht_mafft_aligned  -            1.4e-11   44.0   0.0   2.4e-11   43.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9662, partial [Candolleomyces eurysporus]
KAJ2932474.1         -          nacht_mafft_aligned  -            1.4e-11   43.9   0.0   2.4e-11   43.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4595, partial [Candolleomyces eurysporus]
KAJ2923883.1         -          nacht_mafft_aligned  -            1.4e-11   43.9   0.0   2.3e-11   43.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13218, partial [Candolleomyces eurysporus]
KAJ2932120.1         -          nacht_mafft_aligned  -            1.5e-11   43.8   0.0     2e-11   43.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g4949, partial [Candolleomyces eurysporus]
KAJ2932462.1         -          nacht_mafft_aligned  -            1.5e-11   43.8   0.0   2.6e-11   43.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4626, partial [Candolleomyces eurysporus]
KAJ2923882.1         -          nacht_mafft_aligned  -            1.6e-11   43.8   0.0   2.3e-11   43.2   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g13215, partial [Candolleomyces eurysporus]
KAJ2922520.1         -          nacht_mafft_aligned  -            1.6e-11   43.8   0.0   2.5e-11   43.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14592, partial [Candolleomyces eurysporus]
KAJ2935157.1         -          nacht_mafft_aligned  -            1.6e-11   43.7   0.0   3.2e-11   42.8   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g1903, partial [Candolleomyces eurysporus]
KAJ2927425.1         -          nacht_mafft_aligned  -            1.7e-11   43.7   0.0   2.5e-11   43.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9666, partial [Candolleomyces eurysporus]
KAJ2922519.1         -          nacht_mafft_aligned  -            1.7e-11   43.7   0.0   3.1e-11   42.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g14591, partial [Candolleomyces eurysporus]
KAJ2933166.1         -          nacht_mafft_aligned  -            1.7e-11   43.7   0.0     3e-11   42.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g3889, partial [Candolleomyces eurysporus]
KAJ2922310.1         -          nacht_mafft_aligned  -            1.7e-11   43.6   0.0   2.9e-11   42.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14784, partial [Candolleomyces eurysporus]
KAJ2929008.1         -          nacht_mafft_aligned  -            1.7e-11   43.6   0.0   2.4e-11   43.2   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g8089, partial [Candolleomyces eurysporus]
KAJ2933846.1         -          nacht_mafft_aligned  -            1.8e-11   43.6   0.0   2.5e-11   43.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g3248, partial [Candolleomyces eurysporus]
KAJ2925065.1         -          nacht_mafft_aligned  -            1.8e-11   43.6   0.0     3e-11   42.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12041, partial [Candolleomyces eurysporus]
KAJ2933845.1         -          nacht_mafft_aligned  -            1.8e-11   43.6   0.0   2.8e-11   43.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g3249, partial [Candolleomyces eurysporus]
KAJ2926783.1         -          nacht_mafft_aligned  -            1.9e-11   43.5   0.0   3.2e-11   42.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g10306, partial [Candolleomyces eurysporus]
KAJ2929514.1         -          nacht_mafft_aligned  -            1.9e-11   43.5   0.0   3.6e-11   42.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g7572, partial [Candolleomyces eurysporus]
KAJ2930707.1         -          nacht_mafft_aligned  -              2e-11   43.5   0.0   4.3e-08   32.5   0.0   2.3   2   0   0   2   2   2   1 hypothetical protein H1R20_g6384, partial [Candolleomyces eurysporus]
KAJ2926012.1         -          nacht_mafft_aligned  -              2e-11   43.5   0.0   3.2e-11   42.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11084, partial [Candolleomyces eurysporus]
KAJ2924234.1         -          nacht_mafft_aligned  -            2.1e-11   43.4   0.0   3.5e-11   42.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g12860, partial [Candolleomyces eurysporus]
KAJ2922305.1         -          nacht_mafft_aligned  -            2.1e-11   43.4   0.0   3.5e-11   42.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14781, partial [Candolleomyces eurysporus]
KAJ2927357.1         -          nacht_mafft_aligned  -            2.2e-11   43.3   0.0   3.6e-11   42.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9733, partial [Candolleomyces eurysporus]
KAJ2926315.1         -          nacht_mafft_aligned  -            2.2e-11   43.3   0.0   3.3e-11   42.7   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g10767, partial [Candolleomyces eurysporus]
KAJ2927419.1         -          nacht_mafft_aligned  -            2.4e-11   43.2   0.0   4.3e-11   42.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9674, partial [Candolleomyces eurysporus]
KAJ2935550.1         -          nacht_mafft_aligned  -            2.5e-11   43.2   0.0   3.5e-11   42.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1545, partial [Candolleomyces eurysporus]
KAJ2923213.1         -          nacht_mafft_aligned  -            2.6e-11   43.1   0.0   5.2e-11   42.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g13882, partial [Candolleomyces eurysporus]
KAJ2929147.1         -          nacht_mafft_aligned  -            2.6e-11   43.0   0.0   4.2e-11   42.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7943, partial [Candolleomyces eurysporus]
KAJ2927430.1         -          nacht_mafft_aligned  -            2.7e-11   43.0   0.0   4.3e-11   42.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9663, partial [Candolleomyces eurysporus]
KAJ2929549.1         -          nacht_mafft_aligned  -            2.8e-11   43.0   0.0   4.3e-11   42.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7534, partial [Candolleomyces eurysporus]
KAJ2926171.1         -          nacht_mafft_aligned  -              3e-11   42.9   0.0   5.5e-11   42.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g10924, partial [Candolleomyces eurysporus]
KAJ2932604.1         -          nacht_mafft_aligned  -              3e-11   42.9   0.0   4.7e-11   42.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g4484, partial [Candolleomyces eurysporus]
KAJ2931815.1         -          nacht_mafft_aligned  -            3.3e-11   42.7   0.0   5.1e-11   42.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g5276, partial [Candolleomyces eurysporus]
KAJ2935940.1         -          nacht_mafft_aligned  -            3.3e-11   42.7   0.0     5e-11   42.1   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g1154, partial [Candolleomyces eurysporus]
KAJ2934626.1         -          nacht_mafft_aligned  -            3.5e-11   42.6   0.0   5.2e-11   42.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g2447, partial [Candolleomyces eurysporus]
KAJ2932465.1         -          nacht_mafft_aligned  -            3.6e-11   42.6   0.0   6.6e-11   41.7   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4625, partial [Candolleomyces eurysporus]
KAJ2927400.1         -          nacht_mafft_aligned  -            3.7e-11   42.6   0.0     6e-11   41.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9688, partial [Candolleomyces eurysporus]
KAJ2924146.1         -          nacht_mafft_aligned  -            3.8e-11   42.5   0.0   6.1e-11   41.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12947, partial [Candolleomyces eurysporus]
KAJ2927643.1         -          nacht_mafft_aligned  -            3.9e-11   42.5   0.0   7.1e-11   41.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9454, partial [Candolleomyces eurysporus]
KAJ2936385.1         -          nacht_mafft_aligned  -            4.3e-11   42.4   0.0   7.5e-11   41.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g710, partial [Candolleomyces eurysporus]
KAJ2927405.1         -          nacht_mafft_aligned  -            4.3e-11   42.4   0.0   6.2e-11   41.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9687, partial [Candolleomyces eurysporus]
KAJ2923531.1         -          nacht_mafft_aligned  -              5e-11   42.1   0.3   7.3e-11   41.6   0.3   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13564, partial [Candolleomyces eurysporus]
KAJ2923507.1         -          nacht_mafft_aligned  -              5e-11   42.1   0.0     8e-11   41.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13586, partial [Candolleomyces eurysporus]
KAJ2927401.1         -          nacht_mafft_aligned  -              5e-11   42.1   0.0   7.8e-11   41.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9692, partial [Candolleomyces eurysporus]
KAJ2924105.1         -          nacht_mafft_aligned  -            5.1e-11   42.1   0.0     8e-11   41.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12987, partial [Candolleomyces eurysporus]
KAJ2927472.1         -          nacht_mafft_aligned  -            5.2e-11   42.1   0.0     8e-11   41.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9622, partial [Candolleomyces eurysporus]
KAJ2921256.1         -          nacht_mafft_aligned  -            5.4e-11   42.0   0.0   8.3e-11   41.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g15840, partial [Candolleomyces eurysporus]
KAJ2934408.1         -          nacht_mafft_aligned  -            5.5e-11   42.0   0.0   9.5e-11   41.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g2655, partial [Candolleomyces eurysporus]
KAJ2921766.1         -          nacht_mafft_aligned  -            5.8e-11   41.9   0.0   8.9e-11   41.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g15329, partial [Candolleomyces eurysporus]
KAJ2925256.1         -          nacht_mafft_aligned  -              6e-11   41.9   0.0   9.5e-11   41.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11820, partial [Candolleomyces eurysporus]
KAJ2921186.1         -          nacht_mafft_aligned  -            6.3e-11   41.8   0.0   1.1e-10   41.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15908, partial [Candolleomyces eurysporus]
KAJ2934363.1         -          nacht_mafft_aligned  -            6.4e-11   41.8   0.0   1.1e-10   41.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g2730, partial [Candolleomyces eurysporus]
KAJ2928118.1         -          nacht_mafft_aligned  -            6.5e-11   41.8   0.0   9.6e-11   41.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g8982, partial [Candolleomyces eurysporus]
KAJ2928260.1         -          nacht_mafft_aligned  -            6.5e-11   41.8   0.0     1e-10   41.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g8828, partial [Candolleomyces eurysporus]
KAJ2924173.1         -          nacht_mafft_aligned  -            6.5e-11   41.8   0.0   1.3e-10   40.8   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g12920, partial [Candolleomyces eurysporus]
KAJ2929155.1         -          nacht_mafft_aligned  -            6.7e-11   41.7   0.0   1.2e-10   40.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g7949, partial [Candolleomyces eurysporus]
KAJ2927978.1         -          nacht_mafft_aligned  -            6.7e-11   41.7   0.0     1e-10   41.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9100, partial [Candolleomyces eurysporus]
KAJ2930714.1         -          nacht_mafft_aligned  -            7.3e-11   41.6   0.0   1.2e-10   40.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6382, partial [Candolleomyces eurysporus]
KAJ2926990.1         -          nacht_mafft_aligned  -            7.4e-11   41.6   0.0   1.2e-10   40.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g10081, partial [Candolleomyces eurysporus]
KAJ2929151.1         -          nacht_mafft_aligned  -            7.4e-11   41.6   0.0   1.4e-10   40.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g7947, partial [Candolleomyces eurysporus]
KAJ2927771.1         -          nacht_mafft_aligned  -            7.5e-11   41.6   0.0     2e-10   40.2   0.0   1.7   2   0   0   2   2   1   1 hypothetical protein H1R20_g9324, partial [Candolleomyces eurysporus]
KAJ2929156.1         -          nacht_mafft_aligned  -              8e-11   41.5   0.0   1.7e-10   40.4   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g7951, partial [Candolleomyces eurysporus]
KAJ2924209.1         -          nacht_mafft_aligned  -            8.1e-11   41.4   0.0   1.3e-10   40.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12893, partial [Candolleomyces eurysporus]
KAJ2928120.1         -          nacht_mafft_aligned  -            8.1e-11   41.4   0.0   9.6e-11   41.2   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g8980, partial [Candolleomyces eurysporus]
KAJ2924211.1         -          nacht_mafft_aligned  -            8.1e-11   41.4   0.0   1.2e-10   40.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12891, partial [Candolleomyces eurysporus]
KAJ2925055.1         -          nacht_mafft_aligned  -            8.3e-11   41.4   0.0   1.4e-10   40.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12039, partial [Candolleomyces eurysporus]
KAJ2928104.1         -          nacht_mafft_aligned  -            8.4e-11   41.4   0.0   1.4e-10   40.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g8999, partial [Candolleomyces eurysporus]
KAJ2921591.1         -          nacht_mafft_aligned  -            9.7e-11   41.2   0.0   1.7e-10   40.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15499, partial [Candolleomyces eurysporus]
KAJ2928119.1         -          nacht_mafft_aligned  -              1e-10   41.1   0.0   2.4e-10   39.9   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein H1R20_g8981, partial [Candolleomyces eurysporus]
KAJ2936398.1         -          nacht_mafft_aligned  -              1e-10   41.1   0.0   1.8e-10   40.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g694, partial [Candolleomyces eurysporus]
KAJ2925224.1         -          nacht_mafft_aligned  -              1e-10   41.1   0.0   1.6e-10   40.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11876, partial [Candolleomyces eurysporus]
KAJ2925944.1         -          nacht_mafft_aligned  -              1e-10   41.1   0.0   1.7e-10   40.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11151, partial [Candolleomyces eurysporus]
KAJ2921124.1         -          nacht_mafft_aligned  -            1.1e-10   41.0   0.0   1.7e-10   40.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g15972, partial [Candolleomyces eurysporus]
KAJ2926014.1         -          nacht_mafft_aligned  -            1.1e-10   41.0   0.0   1.9e-10   40.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11086, partial [Candolleomyces eurysporus]
KAJ2922442.1         -          nacht_mafft_aligned  -            1.1e-10   41.0   0.0   1.5e-10   40.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g14654, partial [Candolleomyces eurysporus]
KAJ2925017.1         -          nacht_mafft_aligned  -            1.1e-10   40.9   0.0   7.4e-10   38.3   0.0   1.9   2   0   0   2   2   1   1 hypothetical protein H1R20_g12055, partial [Candolleomyces eurysporus]
KAJ2929204.1         -          nacht_mafft_aligned  -            1.2e-10   40.9   0.0   1.7e-10   40.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7885, partial [Candolleomyces eurysporus]
KAJ2932174.1         -          nacht_mafft_aligned  -            1.2e-10   40.9   0.0   2.9e-10   39.6   0.0   1.6   2   0   0   2   2   1   1 hypothetical protein H1R20_g4927, partial [Candolleomyces eurysporus]
KAJ2928063.1         -          nacht_mafft_aligned  -            1.2e-10   40.9   0.0   2.1e-10   40.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9029, partial [Candolleomyces eurysporus]
KAJ2929863.1         -          nacht_mafft_aligned  -            1.2e-10   40.8   0.0   1.8e-10   40.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g7229, partial [Candolleomyces eurysporus]
KAJ2923887.1         -          nacht_mafft_aligned  -            1.4e-10   40.7   0.0   2.5e-10   39.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13197, partial [Candolleomyces eurysporus]
KAJ2925401.1         -          nacht_mafft_aligned  -            1.4e-10   40.6   0.0   2.3e-10   40.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11670, partial [Candolleomyces eurysporus]
KAJ2929152.1         -          nacht_mafft_aligned  -            1.5e-10   40.6   0.0   2.8e-10   39.7   0.0   1.3   1   1   0   1   1   1   1 hypothetical protein H1R20_g7937, partial [Candolleomyces eurysporus]
KAJ2929527.1         -          nacht_mafft_aligned  -            1.6e-10   40.5   0.0   4.5e-10   39.0   0.0   1.6   2   0   0   2   2   1   1 hypothetical protein H1R20_g7548, partial [Candolleomyces eurysporus]
KAJ2932428.1         -          nacht_mafft_aligned  -            1.6e-10   40.5   0.0   2.9e-10   39.6   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g4642, partial [Candolleomyces eurysporus]
KAJ2923250.1         -          nacht_mafft_aligned  -            1.7e-10   40.4   0.0   2.8e-10   39.7   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13844, partial [Candolleomyces eurysporus]
KAJ2929767.1         -          nacht_mafft_aligned  -            1.7e-10   40.4   0.0   2.6e-10   39.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7344, partial [Candolleomyces eurysporus]
KAJ2930946.1         -          nacht_mafft_aligned  -            1.7e-10   40.4   0.0   2.6e-10   39.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g6139, partial [Candolleomyces eurysporus]
KAJ2926460.1         -          nacht_mafft_aligned  -            1.7e-10   40.4   0.0   2.9e-10   39.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g10634, partial [Candolleomyces eurysporus]
KAJ2929562.1         -          nacht_mafft_aligned  -            1.8e-10   40.3   0.0   3.3e-10   39.5   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g7529, partial [Candolleomyces eurysporus]
KAJ2929553.1         -          nacht_mafft_aligned  -            1.8e-10   40.3   0.0   3.1e-10   39.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g7523, partial [Candolleomyces eurysporus]
KAJ2929199.1         -          nacht_mafft_aligned  -            1.9e-10   40.3   0.0   5.5e-10   38.7   0.0   1.7   2   0   0   2   2   1   1 hypothetical protein H1R20_g7896, partial [Candolleomyces eurysporus]
KAJ2926454.1         -          nacht_mafft_aligned  -            1.9e-10   40.3   0.0   3.2e-10   39.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g10638, partial [Candolleomyces eurysporus]
KAJ2925909.1         -          nacht_mafft_aligned  -              2e-10   40.2   0.0   3.7e-10   39.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g11186, partial [Candolleomyces eurysporus]
KAJ2926049.1         -          nacht_mafft_aligned  -              2e-10   40.2   0.0   3.1e-10   39.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11043, partial [Candolleomyces eurysporus]
KAJ2936677.1         -          nacht_mafft_aligned  -              2e-10   40.1   0.0   3.3e-10   39.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g419, partial [Candolleomyces eurysporus]
KAJ2929107.1         -          nacht_mafft_aligned  -              2e-10   40.1   0.0   3.2e-10   39.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7995, partial [Candolleomyces eurysporus]
KAJ2936856.1         -          nacht_mafft_aligned  -            2.1e-10   40.1   0.0   5.2e-10   38.8   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein H1R20_g281, partial [Candolleomyces eurysporus]
KAJ2925740.1         -          nacht_mafft_aligned  -            2.2e-10   40.0   0.0   3.1e-10   39.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g11348, partial [Candolleomyces eurysporus]
KAJ2925282.1         -          nacht_mafft_aligned  -            2.2e-10   40.0   0.0   4.7e-10   38.9   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g11835, partial [Candolleomyces eurysporus]
KAJ2933500.1         -          nacht_mafft_aligned  -            2.2e-10   40.0   0.0   3.2e-10   39.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g3593, partial [Candolleomyces eurysporus]
KAJ2928586.1         -          nacht_mafft_aligned  -            2.4e-10   39.9   0.0   3.4e-10   39.4   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g8511, partial [Candolleomyces eurysporus]
KAJ2928478.1         -          nacht_mafft_aligned  -            2.4e-10   39.9   0.0   3.4e-10   39.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g8613, partial [Candolleomyces eurysporus]
KAJ2921067.1         -          nacht_mafft_aligned  -            2.4e-10   39.9   0.0   3.8e-10   39.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g16026, partial [Candolleomyces eurysporus]
KAJ2924889.1         -          nacht_mafft_aligned  -            2.4e-10   39.9   0.0   4.2e-10   39.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g12206, partial [Candolleomyces eurysporus]
KAJ2930884.1         -          nacht_mafft_aligned  -            2.4e-10   39.9   0.0   4.4e-10   39.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6206, partial [Candolleomyces eurysporus]
KAJ2936788.1         -          nacht_mafft_aligned  -            2.5e-10   39.9   0.0   3.7e-09   36.0   0.0   2.1   2   0   0   2   2   2   1 hypothetical protein H1R20_g304, partial [Candolleomyces eurysporus]
KAJ2927361.1         -          nacht_mafft_aligned  -            2.5e-10   39.8   0.0   4.1e-10   39.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9735, partial [Candolleomyces eurysporus]
KAJ2929816.1         -          nacht_mafft_aligned  -            2.6e-10   39.8   0.0   4.7e-10   38.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g7269, partial [Candolleomyces eurysporus]
KAJ2930655.1         -          nacht_mafft_aligned  -            2.9e-10   39.6   0.0   4.6e-10   39.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g6427, partial [Candolleomyces eurysporus]
KAJ2922611.1         -          nacht_mafft_aligned  -            2.9e-10   39.6   0.0   5.3e-10   38.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g14473, partial [Candolleomyces eurysporus]
KAJ2923815.1         -          nacht_mafft_aligned  -            3.2e-10   39.5   0.0   4.9e-10   38.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13279, partial [Candolleomyces eurysporus]
KAJ2934604.1         -          nacht_mafft_aligned  -            3.4e-10   39.4   0.0   5.9e-10   38.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g2480, partial [Candolleomyces eurysporus]
KAJ2930943.1         -          nacht_mafft_aligned  -            3.4e-10   39.4   0.0   5.5e-10   38.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g6160, partial [Candolleomyces eurysporus]
KAJ2924896.1         -          nacht_mafft_aligned  -            3.4e-10   39.4   0.0   6.7e-10   38.4   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g12209, partial [Candolleomyces eurysporus]
KAJ2932901.1         -          nacht_mafft_aligned  -            3.5e-10   39.4   0.0     6e-10   38.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4186, partial [Candolleomyces eurysporus]
KAJ2923891.1         -          nacht_mafft_aligned  -            3.6e-10   39.3   0.0   5.8e-10   38.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13201, partial [Candolleomyces eurysporus]
KAJ2923192.1         -          nacht_mafft_aligned  -            3.8e-10   39.2   0.0   5.2e-10   38.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g13898, partial [Candolleomyces eurysporus]
KAJ2921777.1         -          nacht_mafft_aligned  -              4e-10   39.2   0.0     6e-10   38.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g15315, partial [Candolleomyces eurysporus]
KAJ2925586.1         -          nacht_mafft_aligned  -            4.1e-10   39.1   0.0     7e-10   38.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g11509, partial [Candolleomyces eurysporus]
KAJ2937081.1         -          nacht_mafft_aligned  -            4.2e-10   39.1   0.0   8.1e-10   38.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g2, partial [Candolleomyces eurysporus]
KAJ2921454.1         -          nacht_mafft_aligned  -            4.2e-10   39.1   0.0   7.6e-10   38.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15640, partial [Candolleomyces eurysporus]
KAJ2925040.1         -          nacht_mafft_aligned  -            4.2e-10   39.1   0.0   6.5e-10   38.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12043, partial [Candolleomyces eurysporus]
